,mtn_name,elevation,elevation_feature
0,mount_everest,8850,peak
1,mount_everest,4000,base
2,k2,8612,peak
3,k2,4000,base
4,kangchenjunga,8586,peak
5,kangchenjunga,2000,base
6,lhotse,8516,peak
7,lhotse,4000,base
8,makalu,8462,peak
9,makalu,5500,mid
10,makalu,2500,base
11,cho_oyu,8201,peak
12,cho_oyu,6500,mid
13,cho_oyu,4500,base
14,dhaulagiri,8167,peak
15,dhaulagiri,1500,base
16,manaslu,8156,peak
17,manaslu,1500,base
18,nanga_parbat,8125,peak
19,nanga_parbat,5500,mid
20,nanga_parbat,2500,base
21,annapurna,8091,peak
22,annapurna,5500,mid
23,annapurna,2500,base
24,gasherbrum,8068,peak
25,gasherbrum,6500,mid
26,gasherbrum,4500,base
27,broad_peak,8047,peak
28,broad_peak,6500,mid
29,broad_peak,4500,base
30,gasherbrum_ii,8035,peak
31,gasherbrum_ii,6500,mid
32,gasherbrum_ii,4500,base
33,shisha_pangma,8013,peak
34,shisha_pangma,6500,mid
35,shisha_pangma,4500,base
36,ama_dablam,6856,peak
37,ama_dablam,5000,mid
38,ama_dablam,3000,base
39,imja_tse,6183,peak
40,imja_tse,3500,base
41,mount_mckinley,6194,peak
42,mount_mckinley,3500,mid
43,mount_mckinley,500,base
44,mont_blanc,4807,peak
45,mont_blanc,3000,mid
46,mont_blanc,1000,base
47,vinson_massif,4897,peak
48,vinson_massif,0,base
49,mount_washington_2,1917,peak
50,mount_washington_2,1000,base
51,flattop,1067,peak
52,flattop,500,base
53,mount_whitney,4418,peak
54,mount_whitney,1500,base
55,mount_mitchell,2037,peak
56,mount_mitchell,500,base
