,mtn_name,first_ascent,ascents,fatalities,fatalities_per_summit_rate
0,mount_everest,1953,11997,332,2.8
1,k2,1954,567,94,16.6
2,kangchenjunga,1955,568,53,9.3
3,lhotse,1956,1196,22,1.8
4,makalu,1955,718,48,6.7
5,cho_oyu,1954,3929,52,1.3
6,dhaulagiri,1960,669,86,12.9
7,manaslu,1956,2849,90,3.2
8,nanga_parbat,1953,420,74,17.6
9,annapurna,1950,476,73,15.3
10,gasherbrum,1958,334,29,8.7
11,broad_peak,1957,424,21,5.0
12,gasherbrum_ii,1956,930,21,2.3
13,shisha_pangma,1964,302,25,8.3
14,ama_dablam,1961,5715,34,0.6
15,imja_tse,1956,,,
16,denali,1913,25835,123,0.5
17,mont_blanc,1786,,1400,
18,vinson_massif,1966,1400,0,0.0
19,mount_washington_2,1642,,136,
20,flattop,,,5,
21,mount_whitney,1873,,150,
22,mount_mitchell,1789,,,
