,region_key,region,country,continent
0,0,solukhumbu,nepal,asia
1,1,tibet,china,asia
2,2,gilgit-baltistan,pakistan,asia
3,3,xinjiang,china,asia
4,4,koshi,nepal,asia
5,5,sikkim,india,asia
6,6,gandaki,nepal,asia
7,7,kashmir,pakistan,asia
8,8,alaska,united_states,north_america
9,9,auvergne_rhone_alpes,france,europe
10,10,aosta_valley,italy,europe
11,11,west_antarctica,antarctic_treaty_system,antarctica
12,12,new_hampshire,united_states,north_america
13,13,california,united_states,north_america
14,14,north_carolina,united_states,north_america
